country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",12-04-2026 11:00,23.107969,72.574648,NO2,8,117,33
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",12-04-2026 11:00,23.107969,72.574648,CO,10,120,37
India,Delhi,Delhi,"Narela, Delhi - DPCC",12-04-2026 11:00,28.822836,77.101981,NH3,5,7,6
India,Delhi,Delhi,"Narela, Delhi - DPCC",12-04-2026 11:00,28.822836,77.101981,OZONE,12,48,19
India,Delhi,Delhi,"New Moti Bagh, Delhi - MHUA",12-04-2026 11:00,28.57834,77.184,NO2,8,9,9
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",12-04-2026 11:00,28.530785,77.271255,NO2,30,124,73
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",12-04-2026 11:00,28.530785,77.271255,NH3,7,14,10
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",12-04-2026 11:00,28.530785,77.271255,SO2,14,41,27
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",12-04-2026 11:00,28.60909,77.0325413,OZONE,29,127,64
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",12-04-2026 11:00,28.570173,76.933762,PM10,63,389,163
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",12-04-2026 11:00,28.570173,76.933762,SO2,13,102,31
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",12-04-2026 11:00,28.6514781,77.1473105,CO,8,68,41
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",12-04-2026 11:00,28.6514781,77.1473105,OZONE,7,37,22
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",12-04-2026 11:00,28.62181,77.1944633,CO,32,64,62
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",12-04-2026 11:00,28.531346,77.190156,SO2,9,17,12
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",12-04-2026 11:00,23.016834,72.625775,NH3,2,16,4
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",12-04-2026 11:00,28.710508,77.249485,NO2,9,53,27
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",12-04-2026 11:00,22.969611,72.6435,SO2,78,102,89
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",12-04-2026 11:00,22.969611,72.6435,CO,44,121,61
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",12-04-2026 11:00,30.379589,76.778328,CO,21,48,24
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",12-04-2026 11:00,28.6701,76.9254,NO2,12,14,13
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",12-04-2026 11:00,28.3419248,77.319699,PM2.5,54,185,96
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",12-04-2026 11:00,28.3419248,77.319699,NH3,3,3,3
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",12-04-2026 11:00,23.076793,72.627874,NH3,1,9,3
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",12-04-2026 11:00,21.755417,72.139056,NO2,55,77,67
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",12-04-2026 11:00,21.755417,72.139056,CO,84,115,88
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-04-2026 11:00,23.163798,72.677768,PM2.5,50,155,94
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-04-2026 11:00,23.163798,72.677768,NO2,16,81,37
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-04-2026 11:00,23.163798,72.677768,NH3,5,16,8
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",12-04-2026 11:00,23.163798,72.677768,CO,49,102,74
India,Gujarat,Surat,"Science Center, Surat - SMC",12-04-2026 11:00,21.170046,72.795405,NO2,15,16,15
India,Gujarat,Surat,"Science Center, Surat - SMC",12-04-2026 11:00,21.170046,72.795405,CO,31,112,60
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",12-04-2026 11:00,22.320153,73.216285,OZONE,2,13,3
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",12-04-2026 11:00,20.362421,72.918013,PM2.5,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",12-04-2026 11:00,20.362421,72.918013,NO2,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",12-04-2026 11:00,20.362421,72.918013,SO2,NA,NA,NA
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",12-04-2026 11:00,23.221714,72.654328,NO2,10,48,21
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",12-04-2026 11:00,23.221714,72.654328,NH3,1,4,2
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",12-04-2026 11:00,23.221714,72.654328,SO2,7,38,13
